team,win_prob,win,season,date,upset_win,upset_loss
Colorado Rapids,0.39750091230369244,0,1998,1998-07-18,0,NA
Columbus Crew,0.7316115999636044,0,1998,1998-07-24,NA,1
Houston Dynamo,0.5135998760192301,1,1998,1998-07-24,NA,0
Los Angeles Galaxy,0.6295996429511471,0,1998,1998-07-24,NA,1
Mutiny,0.538436913021866,0,1998,1998-07-24,NA,1
New York Red Bulls,0.5480931260642908,1,1998,1998-07-24,NA,0
FC Dallas,0.26838840003639564,1,1998,1998-07-24,1,NA
Sporting Kansas City,0.4864001239807699,0,1998,1998-07-24,0,NA
DC United,0.3704003570488529,1,1998,1998-07-24,1,NA
Colorado Rapids,0.461563086978134,1,1998,1998-07-24,1,NA
Chicago Fire,0.45190687393570916,0,1998,1998-07-24,0,NA
New England Revolution,0.6173180830960372,0,1998,1998-07-25,NA,1
Miami,0.3826819169039628,1,1998,1998-07-25,1,NA
DC United,0.8713240265649496,1,1998,1998-07-28,NA,0
FC Dallas,0.4212908449517784,1,1998,1998-07-28,1,NA
Houston Dynamo,0.44097575432526087,1,1998,1998-07-28,1,NA
Miami,0.5996262367429688,1,1998,1998-07-28,NA,0
New England Revolution,0.5038381594995013,0,1998,1998-07-28,NA,1
New York Red Bulls,0.6778369009179493,1,1998,1998-07-28,NA,0
Mutiny,0.12867597343505044,0,1998,1998-07-28,0,NA
Los Angeles Galaxy,0.5787091550482216,0,1998,1998-07-28,NA,1
Chicago Fire,0.5590242456747392,0,1998,1998-07-28,NA,1
Columbus Crew,0.4003737632570312,0,1998,1998-07-28,0,NA
Colorado Rapids,0.4961618405004987,1,1998,1998-07-28,1,NA
Sporting Kansas City,0.32216309908205065,0,1998,1998-07-28,0,NA
Colorado Rapids,0.5676782796584653,0,1998,1998-08-04,NA,1
New England Revolution,0.567524008377307,1,1998,1998-08-04,NA,0
Los Angeles Galaxy,0.4323217203415347,1,1998,1998-08-04,1,NA
Houston Dynamo,0.432475991622693,0,1998,1998-08-04,0,NA
Mutiny,0.5558759163337499,1,1998,1998-08-05,NA,0
Miami,0.4441240836662501,0,1998,1998-08-05,0,NA
FC Dallas,0.3978455976221105,0,1998,1998-08-06,0,NA
DC United,0.6021544023778895,1,1998,1998-08-06,NA,0
Chicago Fire,0.548061104845758,0,1998,1998-08-07,NA,1
Columbus Crew,0.7231137010884928,1,1998,1998-08-07,NA,0
Sporting Kansas City,0.6164355926907751,1,1998,1998-08-07,NA,0
Los Angeles Galaxy,0.451938895154242,1,1998,1998-08-07,1,NA
New England Revolution,0.2768862989115072,0,1998,1998-08-07,0,NA
Colorado Rapids,0.3835644073092249,0,1998,1998-08-07,0,NA
Houston Dynamo,0.5016737517332251,1,1998,1998-08-08,NA,0
New York Red Bulls,0.49832624826677485,0,1998,1998-08-08,0,NA
New York Red Bulls,0.6568888236467414,1,1998,1998-08-11,NA,0
Columbus Crew,0.3431111763532586,0,1998,1998-08-11,0,NA
Los Angeles Galaxy,0.7841554305931693,1,1998,1998-08-12,NA,0
Sporting Kansas City,0.21584456940683072,0,1998,1998-08-12,0,NA
Mutiny,0.6717668104237016,0,1998,1998-08-13,NA,1
New England Revolution,0.32823318957629843,1,1998,1998-08-13,1,NA
Chicago Fire,0.7345710191846484,1,1998,1998-08-14,NA,0
Colorado Rapids,0.6691402293454735,0,1998,1998-08-14,NA,1
Miami,0.5500998174109738,1,1998,1998-08-14,NA,0
Houston Dynamo,0.2654289808153516,0,1998,1998-08-14,0,NA
FC Dallas,0.33085977065452654,1,1998,1998-08-14,1,NA
New York Red Bulls,0.4499001825890262,0,1998,1998-08-14,0,NA
Columbus Crew,0.6298466564894506,1,1998,1998-08-15,NA,0
Sporting Kansas City,0.3701533435105494,0,1998,1998-08-15,0,NA
New York Red Bulls,0.679697271726951,1,1998,1998-08-17,NA,0
Colorado Rapids,0.32030272827304895,0,1998,1998-08-17,0,NA
Miami,0.6243466944631112,1,1998,1998-08-18,NA,0
FC Dallas,0.3756533055368888,0,1998,1998-08-18,0,NA
Colorado Rapids,0.5327419496965041,0,1998,1998-08-20,NA,1
Chicago Fire,0.4672580503034959,1,1998,1998-08-20,1,NA
Columbus Crew,0.7447573659377015,1,1998,1998-08-21,NA,0
