season,date,home_team,home_final,away_final,away_team,penalties
1999,1999-08-27,Chicago Fire,2,1,New England Revolution,0
1999,1999-08-27,Colorado Rapids,0,1,DC United,0
1999,1999-08-27,FC Dallas,1,0,Los Angeles Galaxy,0
1999,1999-08-27,Houston Dynamo,2,1,New York Red Bulls,1
1999,1999-08-28,Sporting Kansas City,2,0,Miami,0
1999,1999-08-31,Los Angeles Galaxy,3,1,Houston Dynamo,0
1999,1999-09-03,Columbus Crew,2,1,Colorado Rapids,0
1999,1999-09-03,DC United,4,1,FC Dallas,0
1999,1999-09-03,Houston Dynamo,2,0,Sporting Kansas City,0
1999,1999-09-03,Miami,1,2,Los Angeles Galaxy,0
1999,1999-09-03,New England Revolution,1,5,Mutiny,0
1999,1999-09-03,New York Red Bulls,1,2,Chicago Fire,0
1999,1999-09-07,New England Revolution,3,2,Sporting Kansas City,0
1999,1999-09-10,Colorado Rapids,1,0,Sporting Kansas City,1
1999,1999-09-10,FC Dallas,1,0,Houston Dynamo,0
1999,1999-09-10,Los Angeles Galaxy,1,0,Chicago Fire,0
1999,1999-09-10,Miami,2,1,New England Revolution,1
1999,1999-09-10,Mutiny,1,2,DC United,0
1999,1999-09-11,Columbus Crew,1,2,New York Red Bulls,0
1999,1999-09-17,Colorado Rapids,1,0,Los Angeles Galaxy,0
1999,1999-09-17,DC United,2,1,New York Red Bulls,1
1999,1999-09-17,New England Revolution,0,1,Columbus Crew,1
1999,1999-09-17,Sporting Kansas City,1,2,FC Dallas,1
1999,1999-09-18,Chicago Fire,2,1,Mutiny,1
1999,1999-09-18,Houston Dynamo,6,1,Miami,0
1999,1999-09-21,New York Red Bulls,1,2,Houston Dynamo,0
1999,1999-09-22,Chicago Fire,1,2,Columbus Crew,0
1999,1999-09-23,New England Revolution,0,1,FC Dallas,0
1999,1999-09-24,Los Angeles Galaxy,0,2,DC United,0
1999,1999-09-24,Mutiny,1,2,New York Red Bulls,0
1999,1999-09-24,Sporting Kansas City,0,1,Colorado Rapids,1
1999,1999-09-25,Columbus Crew,2,1,Miami,0
1999,1999-09-25,Houston Dynamo,2,0,Chicago Fire,0
1999,1999-09-28,Los Angeles Galaxy,4,0,Colorado Rapids,0
1999,1999-09-30,Colorado Rapids,1,0,Houston Dynamo,1
1999,1999-10-01,New England Revolution,2,1,New York Red Bulls,0
1999,1999-10-02,FC Dallas,4,3,Los Angeles Galaxy,0
1999,1999-10-02,Miami,4,1,Columbus Crew,0
1999,1999-10-05,Colorado Rapids,0,1,Chicago Fire,0
1999,1999-10-05,DC United,2,4,Mutiny,0
1999,1999-10-05,Houston Dynamo,1,0,Sporting Kansas City,0
1999,1999-10-08,DC United,1,2,New England Revolution,1
1999,1999-10-08,Miami,2,0,Colorado Rapids,0
1999,1999-10-08,Sporting Kansas City,0,1,Los Angeles Galaxy,0
1999,1999-10-09,Columbus Crew,2,3,Chicago Fire,1
1999,1999-10-09,Mutiny,1,2,FC Dallas,0
1999,1999-10-15,DC United,2,0,Miami,0
1999,1999-10-15,FC Dallas,2,1,Chicago Fire,0
1999,1999-10-16,Columbus Crew,2,0,Mutiny,0
1999,1999-10-16,Los Angeles Galaxy,3,0,Colorado Rapids,0
1999,1999-10-21,Mutiny,0,2,Columbus Crew,0
1999,1999-10-22,Chicago Fire,4,0,FC Dallas,0
1999,1999-10-23,Colorado Rapids,0,2,Los Angeles Galaxy,0
1999,1999-10-23,Miami,0,1,DC United,1
1999,1999-10-26,FC Dallas,3,2,Chicago Fire,0
1999,1999-10-30,DC United,2,1,Columbus Crew,0
1999,1999-10-30,Los Angeles Galaxy,2,1,FC Dallas,0
1999,1999-11-06,Columbus Crew,5,1,DC United,0
1999,1999-11-06,FC Dallas,3,2,Los Angeles Galaxy,1
1999,1999-11-10,Los Angeles Galaxy,3,1,FC Dallas,0
1999,1999-11-12,DC United,4,0,Columbus Crew,0
1999,1999-11-20,DC United,2,0,Los Angeles Galaxy,0
2000,2000-03-17,FC Dallas,4,2,Chicago Fire,0
2000,2000-03-17,Los Angeles Galaxy,2,1,Colorado Rapids,0
2000,2000-03-17,Miami,1,1,New England Revolution,1
2000,2000-03-17,Mutiny,5,1,Columbus Crew,0
2000,2000-03-24,Columbus Crew,2,1,Houston Dynamo,1
2000,2000-03-24,DC United,0,4,Los Angeles Galaxy,0
2000,2000-03-24,FC Dallas,0,1,Colorado Rapids,0
2000,2000-03-24,Mutiny,1,0,New England Revolution,0
2000,2000-03-24,Sporting Kansas City,4,3,Chicago Fire,0
2000,2000-03-25,Miami,3,1,New York Red Bulls,0
2000,2000-03-31,Columbus Crew,0,2,Chicago Fire,0
2000,2000-03-31,FC Dallas,1,0,Mutiny,0
2000,2000-03-31,Los Angeles Galaxy,2,2,New England Revolution,1
2000,2000-03-31,Miami,0,0,Houston Dynamo,1
2000,2000-03-31,New York Red Bulls,3,2,DC United,0
2000,2000-03-31,Sporting Kansas City,3,0,Colorado Rapids,0
2000,2000-04-07,Colorado Rapids,1,0,Mutiny,0
2000,2000-04-07,Columbus Crew,2,2,Los Angeles Galaxy,1
2000,2000-04-07,DC United,3,2,Chicago Fire,0
2000,2000-04-07,FC Dallas,2,1,New England Revolution,0
2000,2000-04-07,Houston Dynamo,2,0,New York Red Bulls,0
2000,2000-04-07,Miami,0,0,Sporting Kansas City,1
2000,2000-04-14,Chicago Fire,1,0,Miami,0
2000,2000-04-14,Los Angeles Galaxy,2,1,FC Dallas,0
2000,2000-04-14,Mutiny,4,2,Colorado Rapids,0
2000,2000-04-14,New England Revolution,2,1,DC United,1
2000,2000-04-14,New York Red Bulls,0,1,Columbus Crew,0
